Station,date,Period,predicted_ridership,required_trains
Station_1,2022-03-30,AM Peak,873.9530156079671,2
Station_1,2022-03-30,Midday,306.074667640791,1
Station_1,2022-03-31,AM Peak,902.8316253857234,2
Station_1,2022-03-31,Midday,313.9048706715521,1
Station_1,2022-04-01,AM Peak,917.0682401245108,2
Station_1,2022-04-01,Midday,316.91835693393,1
Station_1,2022-04-04,AM Peak,928.2668266538624,2
Station_1,2022-04-04,Midday,313.80870484451464,1
Station_1,2022-04-05,AM Peak,879.5093942923937,2
Station_1,2022-04-05,Midday,299.98474961575903,1
Station_1,2022-04-06,AM Peak,919.9221933598533,2
Station_1,2022-04-06,Midday,304.95265339462395,1
Station_1,2022-04-07,AM Peak,971.9388324559551,2
Station_1,2022-04-07,Midday,309.26344502897524,1
Station_1,2022-04-08,AM Peak,1008.7149485132437,2
Station_1,2022-04-08,Midday,313.40992134769004,1
Station_1,2022-04-11,AM Peak,1014.4355499394932,2
Station_1,2022-04-11,Midday,309.20139384473947,1
Station_1,2022-04-12,AM Peak,966.7311446732518,2
Station_1,2022-04-12,Midday,304.93235648393636,1
Station_1,2022-04-13,AM Peak,1002.4483620137419,2
Station_1,2022-04-13,Midday,308.61101542812327,1
Station_1,2022-04-14,AM Peak,1036.892492747329,2
Station_1,2022-04-14,Midday,300.8185991216041,1
Station_1,2022-04-18,AM Peak,1039.8250871102905,2
Station_1,2022-04-18,Midday,294.02185716178394,1
Station_1,2022-04-19,AM Peak,1014.406723558149,2
Station_1,2022-04-19,Midday,288.816386996575,1
Station_1,2022-04-20,AM Peak,939.7682413642061,2
Station_1,2022-04-20,Midday,277.8668008933844,1
Station_1,2022-04-21,AM Peak,989.2707316814907,2
Station_1,2022-04-21,Midday,281.5546936426457,1
Station_1,2022-04-22,AM Peak,1032.521136210812,2
Station_1,2022-04-22,Midday,292.0380132493866,1
Station_1,2022-04-25,AM Peak,1002.2517807878343,2
Station_1,2022-04-25,Midday,282.7513628005886,1
Station_1,2022-04-26,AM Peak,922.3475773481821,2
